"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15941","User berhasil melakukan checkout dengan login di checkout form","TC04 Checkout Registered User Tests","2026-03-06","failed","2026-03-06","","TC04006 - Checkout with Re-Login at Checkout Form","",""
"","21579","User berhasil melakukan login dan diarahkan ke halaman beranda","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01001 - Login User (Valid Data)","",""
"","1090","User gagal melakukan reset password dengan format email tidak valid dan menampilkan pesan error","TC02 Forgot Password Page Tests","2026-03-06","passed","2026-03-06","","TC02003 - Reset Password with Invalid Email Format","",""
"","1524","User dapat memfilter produk dengan mencentang beberapa warna sekaligus","TC06 - Filter Accessories Page Tests","2026-03-06","passed","2026-03-06","","TC06005 - Centang Filter Beberapa Warna","",""
"","6940","User berhasil melakukan reset password dengan email valid dan menampilkan pesan sukses","TC02 Forgot Password Page Tests","2026-03-06","failed","2026-03-06","","TC02001 - Reset Password with Valid Email","",""
"","5365","User dapat menggabungkan filter slider harga dan checkbox warna secara bersamaan","TC06 - Filter Accessories Page Tests","2026-03-06","failed","2026-03-06","","TC06007 - Kombinasi Filter Harga dan Warna","",""
"","2496","User gagal melakukan registrasi dengan email yang sudah terdaftar dan menampilkan pesan error","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03003 - Register User with Registered Email","",""
"","8433","User dapat menggeser slider harga minimum ke nilai yang lebih tinggi","TC06 - Filter Accessories Page Tests","2026-03-06","failed","2026-03-06","","TC06001 - Geser Slider Harga Minimum","",""
"","1536","User gagal melakukan registrasi dengan password dibawah minimum karakter dan menampilkan pesan error","TC03 Register Page Tests","2026-03-06","passed","2026-03-06","","TC03009 - Register User with Password Below Minimum Characters","",""
"","4520","User dapat logout dari My Account","TC07 - My Account Page Tests","2026-03-06","passed","2026-03-06","","TC07002 - Logout Button","",""
"","1879","User gagal melakukan login dengan format email tidak valid (tanpa @) dan menampilkan pesan error","TC01 Login Page Tests","2026-03-06","passed","2026-03-06","","TC01004 - Login User Email Tidak Valid","",""
